Package                            Current        Wanted        Latest  Location                                   Depended by
@clerk/clerk-react                  5.38.1        5.40.0        5.40.0  node_modules/@clerk/clerk-react            phoenix
@eslint/js                          9.32.0        9.33.0        9.33.0  node_modules/@eslint/js                    phoenix
@growthbook/growthbook-react         1.6.0         1.6.1         1.6.1  node_modules/@growthbook/growthbook-react  phoenix
@hookform/resolvers                 3.10.0        3.10.0         5.2.1  node_modules/@hookform/resolvers           phoenix
@supabase/supabase-js               2.53.0        2.54.0        2.54.0  node_modules/@supabase/supabase-js         phoenix
@tanstack/react-query               5.84.1        5.84.2        5.84.2  node_modules/@tanstack/react-query         phoenix
@types/node                        22.17.0       22.17.1        24.2.1  node_modules/@types/node                   phoenix
@types/react                       18.3.23       18.3.23        19.1.9  node_modules/@types/react                  phoenix
@types/react-dom                    18.3.7        18.3.7        19.1.7  node_modules/@types/react-dom              phoenix
caniuse-lite                  1.0.30001731  1.0.30001734  1.0.30001734  node_modules/caniuse-lite                  phoenix
cypress                             14.5.3        14.5.4        14.5.4  node_modules/cypress                       phoenix
date-fns                             3.6.0         3.6.0         4.1.0  node_modules/date-fns                      phoenix
eslint                              9.32.0        9.33.0        9.33.0  node_modules/eslint                        phoenix
globals                            15.15.0       15.15.0        16.3.0  node_modules/globals                       phoenix
i18next                             25.3.2        25.3.4        25.3.4  node_modules/i18next                       phoenix
lucide-react                       0.462.0       0.462.0       0.539.0  node_modules/lucide-react                  phoenix
openai                              5.11.0        5.12.2        5.12.2  node_modules/openai                        phoenix
puppeteer                          24.15.0       24.16.1       24.16.1  node_modules/puppeteer                     phoenix
react                               18.3.1        18.3.1        19.1.1  node_modules/react                         phoenix
react-day-picker                    8.10.1        8.10.1         9.8.1  node_modules/react-day-picker              phoenix
react-dom                           18.3.1        18.3.1        19.1.1  node_modules/react-dom                     phoenix
react-resizable-panels               2.1.9         2.1.9         3.0.4  node_modules/react-resizable-panels        phoenix
recharts                            2.15.4        2.15.4         3.1.2  node_modules/recharts                      phoenix
sonner                               2.0.6         2.0.7         2.0.7  node_modules/sonner                        phoenix
tailwind-merge                       2.6.0         2.6.0         3.3.1  node_modules/tailwind-merge                phoenix
tailwindcss                         3.4.17        3.4.17        4.1.11  node_modules/tailwindcss                   phoenix
typescript                           5.8.3         5.9.2         5.9.2  node_modules/typescript                    phoenix
typescript-eslint                   8.38.0        8.39.0        8.39.0  node_modules/typescript-eslint             phoenix
vaul                                 0.9.9         0.9.9         1.1.2  node_modules/vaul                          phoenix
vite                                5.4.19        5.4.19         6.3.5  node_modules/vite                          phoenix
zod                                3.25.76       3.25.76        4.0.17  node_modules/zod                           phoenix
