pkg,pattern,file,spec
"@supabase/supabase-js","default","src/__tests__/timeCapsule.test.ts","@supabase/supabase-js"
"@supabase/supabase-js","default","src/api/middleware/adminAuth.ts","@supabase/supabase-js"
"@supabase/supabase-js","default","src/app/api/admin/analytics/route.ts","@supabase/supabase-js"
"@supabase/supabase-js","default","src/app/api/cron/behavioral-nudges/route.ts","@supabase/supabase-js"
"@supabase/supabase-js","default","src/app/api/documents/[id]/route.ts","@supabase/supabase-js"
"@supabase/supabase-js","default","src/app/api/documents/process/route.ts","@supabase/supabase-js"
"@supabase/supabase-js","default","src/app/api/emergency/send-test/route.ts","@supabase/supabase-js"
"@supabase/supabase-js","default","src/app/api/family-hub/access-level/route.ts","@supabase/supabase-js"
"@supabase/supabase-js","default","src/app/api/family-hub/route.ts","@supabase/supabase-js"
"@supabase/supabase-js","default","src/app/api/privacy-settings/route.ts","@supabase/supabase-js"
"@supabase/supabase-js","default","src/app/api/time-capsule/[id]/route.ts","@supabase/supabase-js"
"@supabase/supabase-js","default","src/app/api/time-capsule/route.ts","@supabase/supabase-js"
"@supabase/supabase-js","default","src/app/api/transparency/route.ts","@supabase/supabase-js"
"@supabase/supabase-js","default","src/app/api/trusted-people/[id]/route.ts","@supabase/supabase-js"
"@supabase/supabase-js","default","src/app/api/webhooks/clerk/route.ts","@supabase/supabase-js"
"@supabase/supabase-js","default","src/app/api/will/__tests__/will-integration.test.ts","@supabase/supabase-js"
"@supabase/supabase-js","default","src/integrations/supabase/client.ts","@supabase/supabase-js"
"@supabase/supabase-js","default","src/lib/api/client.ts","@supabase/supabase-js"
"@supabase/supabase-js","default","src/lib/pushNotificationSender.ts","@supabase/supabase-js"
"@supabase/supabase-js","default","src/services/BehavioralNudges.ts","@supabase/supabase-js"
"@supabase/supabase-js","default","src/services/expiration-intelligence.ts","@supabase/supabase-js"
"@supabase/supabase-js","default","src/services/LifeMilestoneTriggers.ts","@supabase/supabase-js"
"@supabase/supabase-js","default","src/services/LifeMilestoneTriggers.ts","@supabase/supabase-js"
"@supabase/supabase-js","default","src/services/willSyncService.ts","@supabase/supabase-js"
"date-fns","default","src/app/consultations/page.tsx","date-fns"
"date-fns","default","src/components/alerts/AlertCenter.tsx","date-fns"
"date-fns","default","src/components/analytics/AnalyticsDashboard.tsx","date-fns"
"date-fns","default","src/components/BeneficiaryCommunicationLog.tsx","date-fns"
"date-fns","default","src/components/CreateTimeCapsuleModal.tsx","date-fns"
"date-fns","default","src/components/dashboard/DocumentCard.tsx","date-fns"
"date-fns","default","src/components/dashboard/DocumentUpload.tsx","date-fns"
"date-fns","default","src/components/emergency/EmergencyContacts.tsx","date-fns"
"date-fns","default","src/components/ExecutorStatusReporting.tsx","date-fns"
"date-fns","default","src/components/FamilyExecutorStatusView.tsx","date-fns"
"date-fns","default","src/components/reminders/ReminderDashboard.tsx","date-fns"
"date-fns","default","src/components/sharing/SharedContentViewer.tsx","date-fns"
"date-fns","default","src/components/upload/DocumentPreview.tsx","date-fns"
"date-fns","default","src/components/willSync/WillSyncNotification.tsx","date-fns"
"date-fns","default","src/components/willSync/WillVersionHistory.tsx","date-fns"
"date-fns","default","src/features/legacy-briefing/components/LegacyBriefing.tsx","date-fns"
"date-fns","default","src/features/legacy-briefing/components/LegacyLetters.tsx","date-fns"
"date-fns","default","src/features/time-capsule/components/ReceivedMessages.tsx","date-fns"
"date-fns","default","src/features/will-generator/components/WillPreview.tsx","date-fns"
"date-fns","default","src/pages/OCRDemo.tsx","date-fns"
"date-fns","default","src/pages/Subscription.tsx","date-fns"
"date-fns","default","src/utils/dateFormatters.ts","date-fns"
"lodash","lodash-full","src/lib/utils/cache.ts","lodash"
"lucide-react","lucide-all","src/App.tsx","lucide-react"
"lucide-react","lucide-all","src/components/assistant/AssistantActions.tsx","lucide-react"
"lucide-react","lucide-all","src/components/auth/AuthenticatedRedirect.tsx","lucide-react"
"lucide-react","lucide-all","src/components/auth/ProtectedRoute.tsx","lucide-react"
"lucide-react","lucide-all","src/components/common/AsyncErrorBoundary.tsx","lucide-react"
"lucide-react","lucide-all","src/components/common/CountryLanguageSelector.tsx","lucide-react"
"lucide-react","lucide-all","src/components/common/CountrySelector.tsx","lucide-react"
"lucide-react","lucide-all","src/components/common/ErrorBoundary.tsx","lucide-react"
"lucide-react","lucide-all","src/components/common/ErrorRecovery.tsx","lucide-react"
"lucide-react","lucide-all","src/components/common/Footer.tsx","lucide-react"
"lucide-react","lucide-all","src/components/common/FormErrorBoundary.tsx","lucide-react"
"lucide-react","lucide-all","src/components/common/Header.tsx","lucide-react"
"lucide-react","lucide-all","src/components/common/LanguageSelector.tsx","lucide-react"
"lucide-react","lucide-all","src/components/common/RetryStatus.tsx","lucide-react"
"lucide-react","lucide-all","src/components/common/RouteErrorBoundary.tsx","lucide-react"
"lucide-react","lucide-all","src/components/common/ThemeToggle.tsx","lucide-react"
"lucide-react","lucide-all","src/components/dashboard/GuardianCard.tsx","lucide-react"
"lucide-react","lucide-all","src/components/dashboard/ProgressNudge.tsx","lucide-react"
"lucide-react","lucide-all","src/components/dashboard/TaskCard.tsx","lucide-react"
"lucide-react","lucide-all","src/components/DataTransparency.tsx","lucide-react"
"lucide-react","lucide-all","src/components/debug/FeatureFlagPanel.tsx","lucide-react"
"lucide-react","lucide-all","src/components/documents/DocumentEditModal.tsx","lucide-react"
"lucide-react","lucide-all","src/components/EditStoryModal.tsx","lucide-react"
"lucide-react","lucide-all","src/components/emergency/NotificationPreferences.tsx","lucide-react"
"lucide-react","lucide-all","src/components/errors/EmotionalRecoverySupport.tsx","lucide-react"
"lucide-react","lucide-all","src/components/errors/EmpatheticErrorBoundary.tsx","lucide-react"
"lucide-react","lucide-all","src/components/errors/EmpatheticFormError.tsx","lucide-react"
"lucide-react","lucide-all","src/components/errors/ProactiveErrorPrevention.tsx","lucide-react"
"lucide-react","lucide-all","src/components/errors/ProgressiveErrorRecovery.tsx","lucide-react"
"lucide-react","lucide-all","src/components/examples/EmpatheticFormExample.tsx","lucide-react"
"lucide-react","lucide-all","src/components/ExecutorManagement.tsx","lucide-react"
"lucide-react","lucide-all","src/components/ExecutorStatusReporting.tsx","lucide-react"
"lucide-react","lucide-all","src/components/FamilyExecutorStatusView.tsx","lucide-react"
"lucide-react","lucide-all","src/components/feedback/EmpathyFeedback.tsx","lucide-react"
"lucide-react","lucide-all","src/components/JustInTimeAccess.tsx","lucide-react"
"lucide-react","lucide-all","src/components/landing/EmotionalValidation.tsx","lucide-react"
"lucide-react","lucide-all","src/components/landing/PainPoints.tsx","lucide-react"
"lucide-react","lucide-all","src/components/landing/PricingSection.tsx","lucide-react"
"lucide-react","lucide-all","src/components/LanguageSwitcher.tsx","lucide-react"
"lucide-react","lucide-all","src/components/layout/Header.tsx","lucide-react"
"lucide-react","lucide-all","src/components/layout/MarketingLayout.tsx","lucide-react"
"lucide-react","lucide-all","src/components/loading/EmpatheticError.tsx","lucide-react"
"lucide-react","lucide-all","src/components/loading/EmpatheticLoader.tsx","lucide-react"
"lucide-react","lucide-all","src/components/loading/EmpatheticTransition.tsx","lucide-react"
"lucide-react","lucide-all","src/components/loading/EmpatheticValidation.tsx","lucide-react"
"lucide-react","lucide-all","src/components/loading/ProgressStory.tsx","lucide-react"
"lucide-react","lucide-all","src/components/LocalProcessingIndicator.tsx","lucide-react"
"lucide-react","lucide-all","src/components/LogLifeEvent.tsx","lucide-react"
"lucide-react","lucide-all","src/components/modals/RedirectSimulationModal.tsx","lucide-react"
"lucide-react","lucide-all","src/components/MyPossessions.tsx","lucide-react"
"lucide-react","lucide-all","src/components/NotificationsBell.tsx","lucide-react"
"lucide-react","lucide-all","src/components/ocr/HybridDocumentProcessor.tsx","lucide-react"
"lucide-react","lucide-all","src/components/OCRProgress.tsx","lucide-react"
"lucide-react","lucide-all","src/components/onboarding/OnboardingWizard.tsx","lucide-react"
"lucide-react","lucide-all","src/components/PrivacyControlPanel.tsx","lucide-react"
"lucide-react","lucide-all","src/components/progressive/ProgressiveDashboardExample.tsx","lucide-react"
"lucide-react","lucide-all","src/components/progressive/ProtectionProgressExample.tsx","lucide-react"
"lucide-react","lucide-all","src/components/PWAInstallBanner.tsx","lucide-react"
"lucide-react","lucide-all","src/components/reminders/ReminderCard.tsx","lucide-react"
"lucide-react","lucide-all","src/components/reminders/ReminderDashboard.tsx","lucide-react"
"lucide-react","lucide-all","src/components/reminders/ReminderSettings.tsx","lucide-react"
"lucide-react","lucide-all","src/components/reminders/ReminderToast.tsx","lucide-react"
"lucide-react","lucide-all","src/components/RouteWithNamespaces.tsx","lucide-react"
"lucide-react","lucide-all","src/components/ScenarioPlanner.tsx","lucide-react"
"lucide-react","lucide-all","src/components/SecurityStatus.tsx","lucide-react"
"lucide-react","lucide-all","src/components/settings/GenderPreferenceSettings.tsx","lucide-react"
"lucide-react","lucide-all","src/components/settings/PrivacySettings.tsx","lucide-react"
"lucide-react","lucide-all","src/components/sharing/ShareModal.tsx","lucide-react"
"lucide-react","lucide-all","src/components/templates/ComponentTemplate.tsx","lucide-react"
"lucide-react","lucide-all","src/components/ui/accordion.tsx","lucide-react"
"lucide-react","lucide-all","src/components/ui/breadcrumb.tsx","lucide-react"
"lucide-react","lucide-all","src/components/ui/calendar.tsx","lucide-react"
"lucide-react","lucide-all","src/components/ui/carousel.tsx","lucide-react"
"lucide-react","lucide-all","src/components/ui/checkbox.tsx","lucide-react"
"lucide-react","lucide-all","src/components/ui/command.tsx","lucide-react"
"lucide-react","lucide-all","src/components/ui/context-menu.tsx","lucide-react"
"lucide-react","lucide-all","src/components/ui/dialog.tsx","lucide-react"
"lucide-react","lucide-all","src/components/ui/dropdown-menu.tsx","lucide-react"
"lucide-react","lucide-all","src/components/ui/input-otp.tsx","lucide-react"
"lucide-react","lucide-all","src/components/ui/menubar.tsx","lucide-react"
"lucide-react","lucide-all","src/components/ui/navigation-menu.tsx","lucide-react"
"lucide-react","lucide-all","src/components/ui/pagination.tsx","lucide-react"
"lucide-react","lucide-all","src/components/ui/radio-group.tsx","lucide-react"
"lucide-react","lucide-all","src/components/ui/resizable.tsx","lucide-react"
"lucide-react","lucide-all","src/components/ui/select.tsx","lucide-react"
"lucide-react","lucide-all","src/components/ui/sheet.tsx","lucide-react"
"lucide-react","lucide-all","src/components/ui/sidebar.tsx","lucide-react"
"lucide-react","lucide-all","src/components/ui/ThemeSwitcher.tsx","lucide-react"
"lucide-react","lucide-all","src/components/ui/toast.tsx","lucide-react"
"lucide-react","lucide-all","src/components/UpgradeCard.tsx","lucide-react"
